,Date,FEDFUNDS,DTWEXBGS,GDPC1,CPIAUCSL,RTWEXBGS
0,2006-03-31,4.456666666666667,100.2164538461538,16353.835,199.4666666666667,100.3404666666667
1,2006-06-30,4.906666666666667,98.59815846153846,16396.151,201.2666666666667,99.12736666666666
2,2006-09-30,5.246666666666667,98.03443384615385,16420.738,203.1666666666667,99.11166666666668
3,2006-12-31,5.246666666666667,97.55281692307693,16561.866,202.3333333333333,97.63
4,2007-03-31,5.256666666666667,97.439534375,16611.69,204.317,97.70856666666667
5,2007-06-30,5.25,94.92673692307693,16713.314,206.631,95.64370000000001
6,2007-09-30,5.073333333333333,93.16536615384616,16809.587,207.939,93.74090000000001
7,2007-12-31,4.496666666666667,89.82536515151516,16915.191,210.4896666666667,90.42696666666666
8,2008-03-31,3.176666666666666,88.3274323076923,16843.003,212.7696666666667,88.78886666666666
9,2008-06-30,2.086666666666666,86.81096769230768,16943.291,215.5376666666667,87.32650000000001
10,2008-09-30,1.94,88.85020757575758,16854.295,218.861,89.87223333333333
11,2008-12-31,0.5066666666666667,99.4315893939394,16485.35,213.8486666666667,98.36763333333333
12,2009-03-31,0.1833333333333333,102.3144133333333,16298.262,212.3776666666667,100.4958666666667
13,2009-06-30,0.18,98.1208015625,16269.145,213.507,96.59750000000001
14,2009-09-30,0.1566666666666666,94.58290625,16326.281,215.344,93.56503333333335
15,2009-12-31,0.12,92.11604262295081,16502.754,217.03,91.16303333333333
16,2010-03-31,0.1333333333333333,93.10724736842104,16582.71,217.374,91.56263333333334
17,2010-06-30,0.1933333333333334,94.7188515625,16743.162,217.2973333333333,92.6288
18,2010-09-30,0.1866666666666667,93.6339390625,16872.266,217.9343333333333,91.3693
19,2010-12-31,0.1866666666666667,90.64960655737706,16960.864,219.699,88.10033333333332
20,2011-03-31,0.1566666666666667,89.28980161290323,16920.632,222.0436666666667,86.81603333333334
21,2011-06-30,0.09333333333333334,86.93641875,17035.114,224.5683333333334,84.67903333333334
22,2011-09-30,0.08333333333333333,87.6444734375,17031.313,226.0326666666666,85.44006666666667
23,2011-12-31,0.07333333333333335,91.37396557377049,17222.583,227.0473333333333,88.70873333333333
24,2012-03-31,0.1033333333333333,90.69970967741935,17367.01,228.326,87.93506666666667
25,2012-06-30,0.1533333333333333,92.3979265625,17444.525,228.808,89.33326666666666
26,2012-09-30,0.1433333333333333,92.35402222222221,17469.65,229.841,89.26563333333333
27,2012-12-31,0.16,91.03736666666667,17489.852,231.3693333333333,87.96390000000001
28,2013-03-31,0.1433333333333333,91.58443333333334,17662.4,232.2993333333334,88.24143333333332
29,2013-06-30,0.1166666666666667,92.5994015625,17709.671,232.045,88.6538
30,2013-09-30,0.08333333333333333,93.6926765625,17860.45,233.3,89.60363333333333
31,2013-12-31,0.08666666666666667,93.11088524590164,18016.147,234.1626666666667,88.83173333333333
32,2014-03-31,0.07333333333333335,94.5107052631579,17953.974,235.621,90.1244
33,2014-06-30,0.09333333333333334,93.833565625,18185.911,236.8723333333333,89.34243333333332
34,2014-09-30,0.09000000000000001,94.7503140625,18406.941,237.4783333333333,90.04333333333334
35,2014-12-31,0.09999999999999999,99.3125,18500.031,236.8883333333333,93.83109999999999
36,2015-03-31,0.11,105.4730169491526,18666.621,235.355,98.84976666666667
37,2015-06-30,0.1233333333333333,105.997159375,18782.243,236.96,99.43323333333332
38,2015-09-30,0.1366666666666667,109.626665625,18857.418,237.855,102.8028666666667
